"year","dpt","dpt_url","circo","circo_url","tour","nuance","candidat","nameLast","nameFirst","sexe","voix","pct_inscrits","pct_exprimes","elected"
"2017","13","013","13","13","2","REM","Mme Magali SIREROLS",NULL,NULL,NULL,"13013","13.87","37.59","0"
"2017","13","013","14","14","2","REM","Mme Anne-Laurence PETEL",NULL,NULL,NULL,"21500","22.3","60.23","1"
"2017","13","013","14","14","2","LR","M. Stéphane PAOLI",NULL,NULL,NULL,"14197","14.72","39.77","0"
"2017","13","013","15","15","2","LR","M. Bernard REYNÈS",NULL,NULL,NULL,"24242","23.11","56.49","1"
"2017","13","013","15","15","2","REM","Mme Nathalie FARRO",NULL,NULL,NULL,"18675","17.8","43.51","0"
"2017","13","013","16","16","2","REM","Mme Monica MICHEL",NULL,NULL,NULL,"18341","20.24","51.17","1"
"2017","13","013","16","16","2","FN","Mme Valérie LAUPIES",NULL,NULL,NULL,"17505","19.32","48.83","0"
"2017","13","013","2","02","2","REM","Mme Claire PITOLLAT",NULL,NULL,NULL,"16725","21.25","54.77","1"
"2017","13","013","2","02","2","LR","M. Dominique TIAN",NULL,NULL,NULL,"13814","17.55","45.23","0"
"2017","13","013","3","03","2","REM","Mme Alexandra LOUIS",NULL,NULL,NULL,"12826","17.45","52.42","1"
"2017","13","013","3","03","2","FN","M. Stéphane RAVIER",NULL,NULL,NULL,"11641","15.84","47.58","0"
"2017","13","013","4","04","2","FI","M. Jean-Luc MÉLENCHON",NULL,NULL,NULL,"11912","19.96","59.85","1"
"2017","13","013","4","04","2","REM","Mme Corinne VERSINI",NULL,NULL,NULL,"7992","13.39","40.15","0"
"2017","13","013","5","05","2","REM","Mme Cathy RACON-BOUZON",NULL,NULL,NULL,"12725","18.43","52.21","1"
"2017","13","013","5","05","2","FI","M. Hendrik DAVI",NULL,NULL,NULL,"11648","16.87","47.79","0"
"2017","13","013","6","06","2","LR","M. Guy TEISSIER",NULL,NULL,NULL,"14299","18.9","53.53","1"
"2017","13","013","6","06","2","MDM","Mme Eléonore LEPRETTRE",NULL,NULL,NULL,"12412","16.41","46.47","0"
"2017","13","013","7","07","2","REM","M. Saïd AHAMADA",NULL,NULL,NULL,"9818","15","58.39","1"
"2017","13","013","7","07","2","FN","Mme Sophie GRECH",NULL,NULL,NULL,"6996","10.69","41.61","0"
"2017","13","013","8","08","2","REM","M. Jean-Marc ZULESI",NULL,NULL,NULL,"22448","22.43","58.68","1"
"2017","13","013","8","08","2","FN","M. Antoine BAUDINO",NULL,NULL,NULL,"15807","15.79","41.32","0"
"2017","13","013","9","09","2","LR","M. Bernard DEFLESSELLES",NULL,NULL,NULL,"17875","18.44","50.77","1"
"2017","13","013","9","09","2","MDM","Mme Sylvie BRUNET",NULL,NULL,NULL,"17333","17.88","49.23","0"
"2017","14","014","1","01","2","REM","M. Fabrice LE VIGOUREUX",NULL,NULL,NULL,"17340","24.74","64.93","1"
"2017","14","014","1","01","2","UDI","Mme Sonia DE LA PROVÔTÉ",NULL,NULL,NULL,"9367","13.36","35.07","0"
"2017","14","014","2","02","2","SOC","Mme Laurence DUMONT",NULL,NULL,NULL,"14814","21.92","53.32","1"
"2017","14","014","2","02","2","REM","M. Eric HALPHEN",NULL,NULL,NULL,"12968","19.19","46.68","0"
"2017","14","014","3","03","2","LR","M. Sébastien LECLERC",NULL,NULL,NULL,"15174","19.23","51.32","1"
"2017","14","014","3","03","2","MDM","Mme Florence LEHERICY",NULL,NULL,NULL,"14394","18.24","48.68","0"
"2017","14","014","4","04","2","REM","M. Christophe BLANCHET",NULL,NULL,NULL,"22624","22.4","55.82","1"
"2017","14","014","4","04","2","LR","Mme Nicole AMELINE",NULL,NULL,NULL,"17908","17.73","44.18","0"
"2017","14","014","5","05","2","REM","M. Bertrand BOUYX",NULL,NULL,NULL,"20358","22.62","55.33","1"
"2017","14","014","5","05","2","LR","M. Cédric NOUVELOT",NULL,NULL,NULL,"16439","18.27","44.67","0"
"2017","14","014","6","06","2","REM","M. Alain TOURRET",NULL,NULL,NULL,"24289","25.96","68.34","1"
"2017","14","014","6","06","2","FN","M. Jean-Philippe ROY",NULL,NULL,NULL,"11252","12.03","31.66","0"
"2017","15","015","1","01","2","LR","M. Vincent DESCOEUR",NULL,NULL,NULL,"15501","24.62","51.11","1"
"2017","15","015","1","01","2","REM","M. François DANEMANS",NULL,NULL,NULL,"14829","23.55","48.89","0"
"2017","15","015","2","02","2","LR","M. Jean-Yves BONY",NULL,NULL,NULL,"14501","26.71","55.76","1"
"2017","15","015","2","02","2","REM","Mme Patricia ROCHES",NULL,NULL,NULL,"11504","21.19","44.24","0"
"2017","16","016","1","01","2","REM","M. Thomas MESNIER",NULL,NULL,NULL,"19360","22.79","59.95","1"
"2017","16","016","1","01","2","FI","Mme Martine BOUTIN",NULL,NULL,NULL,"12935","15.23","40.05","0"
"2017","16","016","2","02","2","REM","Mme Sandra MARSAUD",NULL,NULL,NULL,"18518","22.06","58.73","1"
"2017","16","016","2","02","2","LR","M. Daniel SAUVAITRE",NULL,NULL,NULL,"13011","15.5","41.27","0"
"2017","16","016","3","03","2","SOC","M. Jérôme LAMBERT",NULL,NULL,NULL,"22337","24.58","59.9","1"
"2017","16","016","3","03","2","REM","Mme Madeleine NGOMBET BITOO",NULL,NULL,NULL,"14951","16.45","40.1","0"
"2017","17","017","1","01","2","DVG","M. Olivier FALORNI",NULL,NULL,NULL,"28765","27.87","69.02","1"
"2017","17","017","1","01","2","MDM","Mme Otilia FERREIRA",NULL,NULL,NULL,"12913","12.51","30.98","0"
"2017","17","017","2","02","2","REM","Mme Fréderique TUFFNELL",NULL,NULL,NULL,"21859","20.96","57.27","1"
"2017","17","017","2","02","2","LR","Mme Sylvie MARCILLY",NULL,NULL,NULL,"16307","15.64","42.73","0"
"2017","17","017","3","03","2","REM","M. Jean-Philippe ARDOUIN",NULL,NULL,NULL,"16739","20.37","57.52","1"
"2017","17","017","3","03","2","LR","M. Frederic NEVEU",NULL,NULL,NULL,"12360","15.04","42.48","0"
"2017","17","017","4","04","2","REM","M. Raphaël GÉRARD",NULL,NULL,NULL,"18070","20.1","51.29","1"
"2017","17","017","4","04","2","LR","M. Loic GIRARD",NULL,NULL,NULL,"17159","19.09","48.71","0"
"2017","17","017","5","05","2","LR","M. Didier QUENTIN",NULL,NULL,NULL,"23151","20.78","54.89","1"
"2017","17","017","5","05","2","DIV","M. Gérard POTENNEC",NULL,NULL,NULL,"19024","17.07","45.11","0"
