"dpt","dpt_url","circo","circo_url","tour","inscrits","abstentions","votants","blancs","nuls","exprimes","year"
"2b","02B","2","02","2","65966","30115","35851","1404","720","33727","2017"
"30","030","1","01","2","86941","51929","35012","2256","921","31835","2017"
"30","030","2","02","2","89016","46101","42915","2322","1048","39545","2017"
"30","030","3","03","2","93543","52475","41068","2917","1031","37120","2017"
"30","030","4","04","2","91103","51873","39230","3577","1251","34402","2017"
"30","030","5","05","2","95845","53396","42449","4326","1518","36605","2017"
"30","030","6","06","2","81176","48253","32923","2325","972","29626","2017"
"31","031","1","01","2","82095","46799","35296","2277","1260","31759","2017"
"31","031","10","10","2","95358","45564","49794","3621","1613","44560","2017"
"31","031","2","02","2","100474","55866","44608","2691","1223","40694","2017"
"31","031","3","03","2","78104","42242","35862","3975","1204","30683","2017"
"31","031","4","04","2","69348","40870","28478","1552","619","26307","2017"
"31","031","5","05","2","98384","54889","43495","3529","1371","38595","2017"
"31","031","6","06","2","111355","59621","51734","3449","1868","46417","2017"
"31","031","7","07","2","99767","55281","44486","3851","1542","39093","2017"
"31","031","8","08","2","85426","45094","40332","3671","2212","34449","2017"
"31","031","9","09","2","79397","44968","34429","2021","959","31449","2017"
"32","032","1","01","2","73503","35926","37577","3579","1706","32292","2017"
"32","032","2","02","2","71502","35579","35923","3289","1661","30973","2017"
"33","033","1","01","2","94988","56496","38492","2855","992","34645","2017"
"33","033","10","10","2","80799","44708","36091","2624","1400","32067","2017"
"33","033","11","11","2","92940","52141","40799","2584","1239","36976","2017"
"33","033","12","12","2","83342","44777","38565","2523","1354","34688","2017"
"33","033","2","02","2","65995","40852","25143","2576","818","21749","2017"
"33","033","3","03","2","81024","46333","34691","1592","734","32365","2017"
"33","033","4","04","2","93631","58657","34974","3003","1429","30542","2017"
"33","033","5","05","2","110514","63806","46708","3273","1792","41643","2017"
"33","033","6","06","2","103728","59292","44436","2882","1274","40280","2017"
"33","033","7","07","2","76934","42808","34126","2109","952","31065","2017"
"33","033","8","08","2","109060","59820","49240","3145","1385","44710","2017"
"33","033","9","09","2","93598","53825","39773","4031","2009","33733","2017"
"34","034","1","01","2","84644","50651","33993","2886","849","30258","2017"
"34","034","2","02","2","60438","37731","22707","1480","550","20677","2017"
"34","034","3","03","2","85109","47407","37702","3017","1248","33437","2017"
"34","034","4","04","2","111989","65681","46308","4592","1513","40203","2017"
"34","034","5","05","2","94240","52377","41863","4126","1461","36276","2017"
"34","034","6","06","2","91267","49681","41586","2154","842","38590","2017"
"34","034","7","07","2","102087","58446","43641","3158","1446","39037","2017"
"34","034","8","08","2","88548","52962","35586","3081","1068","31437","2017"
"34","034","9","09","2","82125","48826","33299","2446","960","29893","2017"
"35","035","1","01","2","89688","51664","38024","4085","1074","32865","2017"
"35","035","2","02","2","92294","50380","41914","4478","1271","36165","2017"
"35","035","3","03","2","86153","49138","37015","2990","1088","32937","2017"
"35","035","4","04","2","90383","50699","39684","2020","956","36708","2017"
"35","035","5","05","2","103298","55573","47725","2620","932","44173","2017"
"35","035","6","06","2","86948","44530","42418","2372","1024","39022","2017"
"35","035","7","07","2","99142","49582","49560","2312","934","46314","2017"
"35","035","8","08","2","83469","44484","38985","1991","722","36272","2017"
"36","036","1","01","2","80545","44578","35967","3101","1194","31672","2017"
"36","036","2","02","2","90052","46554","43498","4360","1958","37180","2017"
"37","037","1","01","2","68633","40769","27864","1990","753","25121","2017"
"37","037","2","02","2","88627","48795","39832","3260","1059","35513","2017"
"37","037","3","03","2","97488","53006","44482","3830","1436","39216","2017"
"37","037","4","04","2","90130","50529","39601","3873","1406","34322","2017"
"37","037","5","05","2","83880","47359","36521","3192","1106","32223","2017"
"38","038","1","01","2","83180","45163","38017","3225","702","34090","2017"
"38","038","10","10","2","93761","56982","36779","2622","785","33372","2017"
"38","038","2","02","2","77428","47273","30155","2577","678","26900","2017"
"38","038","3","03","2","59776","35882","23894","1181","467","22246","2017"
"38","038","4","04","2","89757","51523","38234","2401","1108","34725","2017"
"38","038","5","05","2","102304","60816","41488","4052","1254","36182","2017"
"38","038","6","06","2","83266","47480","35786","1702","578","33506","2017"
"38","038","7","07","2","91447","52877","38570","3359","1039","34172","2017"
"38","038","8","08","2","78571","45894","32677","2333","766","29578","2017"
"38","038","9","09","2","97178","57758","39420","4263","1059","34098","2017"
"39","039","1","01","2","65422","34587","30835","2944","1115","26776","2017"
"39","039","2","02","2","55226","30061","25165","1710","607","22848","2017"
"39","039","3","03","2","69497","35557","33940","2436","1165","30339","2017"
"40","040","1","01","2","101388","54469","46919","4064","1702","41153","2017"
"40","040","2","02","2","112273","59976","52297","3454","1690","47153","2017"
"40","040","3","03","2","96511","45144","51367","3340","1798","46229","2017"
"41","041","1","01","2","82752","45454","37298","3092","1071","33135","2017"
"41","041","2","02","2","80340","41306","39034","2581","1021","35432","2017"
"41","041","3","03","2","82183","40900","41283","2458","953","37872","2017"
"42","042","1","01","2","65645","40608","25037","1423","549","23065","2017"
"42","042","2","02","2","53194","33376","19818","1239","438","18141","2017"
"42","042","3","03","2","82496","50109","32387","2637","676","29074","2017"
"42","042","4","04","2","101108","58678","42430","3306","1145","37979","2017"
"42","042","5","05","2","101144","56318","44826","3487","1331","40008","2017"
"42","042","6","06","2","107615","62701","44914","3079","1295","40540","2017"
"43","043","1","01","2","97790","49133","48657","2217","963","45477","2017"
"43","043","2","02","2","79462","40923","38539","2507","1120","34912","2017"
"44","044","1","01","2","74936","42598","32338","3284","636","28418","2017"
"44","044","10","10","2","114729","65119","49610","3615","1295","44700","2017"
"44","044","2","02","2","85838","46868","38970","2392","666","35912","2017"
"44","044","3","03","2","92169","52103","40066","2611","577","36878","2017"
"44","044","4","04","2","89004","48774","40230","2211","815","37204","2017"
"44","044","5","05","2","116331","65292","51039","4284","1506","45249","2017"
"44","044","6","06","2","110229","61836","48393","3990","1645","42758","2017"
"44","044","7","07","2","108228","60087","48141","3688","1289","43164","2017"
"44","044","8","08","2","85603","48934","36669","1743","809","34117","2017"
"44","044","9","09","2","117872","67697","50175","5032","1759","43384","2017"
"45","045","1","01","2","75649","41323","34326","2689","877","30760","2017"
"45","045","2","02","2","85273","47879","37394","2469","931","33994","2017"
"45","045","3","03","2","70836","38875","31961","2501","981","28479","2017"
"45","045","4","04","2","74643","42269","32374","2316","944","29114","2017"
"45","045","5","05","2","74554","43043","31511","2413","946","28152","2017"
